stock,endDate,totalAssets,totalLiab,totalStockholderEquity,asset_liability_ratio,debt_to_equity_ratio
MYOV,2020-03-31,105926000.0,214203000.0,-108277000.0,202.22,-1.98
MYOV,2019-03-31,172977000.0,168643000.0,4334000.0,97.49,38.91
MYOV,2018-03-31,119101000.0,81372000.0,37729000.0,68.32,2.16
MYOV,2017-03-31,185278000.0,18502000.0,166776000.0,9.99,0.11
HPE,2019-10-31,51803000000.0,34654000000.0,17098000000.0,66.9,2.03
HPE,2018-10-31,55493000000.0,34219000000.0,21239000000.0,61.66,1.61
HPE,2017-10-31,61406000000.0,37901000000.0,23466000000.0,61.72,1.62
HPE,2016-10-31,79629000000.0,48111000000.0,31448000000.0,60.42,1.53
HSKA,2019-12-31,244424000.0,89890000.0,154364000.0,36.78,0.58
HSKA,2018-12-31,156452000.0,34043000.0,122409000.0,21.76,0.28
HSKA,2017-12-31,135444000.0,35004000.0,100440000.0,25.84,0.35
HSKA,2016-12-31,130844000.0,43869000.0,86975000.0,33.53,0.5
AN,2019-12-31,10543300000.0,7381200000.0,3162100000.0,70.01,2.33
AN,2018-12-31,10665100000.0,7949100000.0,2716000000.0,74.53,2.93
AN,2017-12-31,10271500000.0,7902200000.0,2369300000.0,76.93,3.34
AN,2016-12-31,10060000000.0,7749700000.0,2310300000.0,77.03,3.35
KNDI,2019-12-31,371218396.0,153361469.0,217856927.0,41.31,0.7
KNDI,2018-12-31,428829264.0,203206390.0,225622874.0,47.39,0.9
KNDI,2017-12-31,438332844.0,215342532.0,222990312.0,49.13,0.97
KNDI,2016-12-31,439698185.0,207350718.0,232347467.0,47.16,0.89
ADMA,2019-12-31,127090725.0,100897576.0,26193149.0,79.39,3.85
ADMA,2018-12-31,88876521.0,69106083.0,19770438.0,77.76,3.5
ADMA,2017-12-31,108018833.0,67686076.0,40332757.0,62.66,1.68
ADMA,2016-12-31,23685085.0,28142347.0,-4457262.0,118.82,-6.31
QLYS,2019-12-31,675608000.0,288805000.0,386803000.0,42.75,0.75
QLYS,2018-12-31,585680000.0,227691000.0,357989000.0,38.88,0.64
QLYS,2017-12-31,537525000.0,193981000.0,343544000.0,36.09,0.56
QLYS,2016-12-31,407004000.0,148591000.0,258413000.0,36.51,0.58
AYRO,2019-12-31,2778130.0,2709187.0,-8956302.0,97.52,-0.3
AYRO,2018-12-31,3242679.0,3134293.0,-4162121.0,96.66,-0.75
AYRO,2017-12-31,4228630.0,3557756.0,-551626.0,84.13,-6.45
HMN,2019-12-31,12478704000.0,10911419000.0,1567285000.0,87.44,6.96
HMN,2018-12-31,11031896000.0,9741346000.0,1290550000.0,88.3,7.55
HMN,2017-12-31,11198340000.0,9696767000.0,1501573000.0,86.59,6.46
HMN,2016-12-31,10576824000.0,9282842000.0,1293982000.0,87.77,7.17
SCM,2019-12-31,648513227.0,377942054.0,270571173.0,58.28,1.4
SCM,2018-12-31,526287251.0,301442244.0,224845007.0,57.28,1.34
SCM,2017-12-31,400260855.0,180013613.0,220247242.0,44.97,0.82
SCM,2016-12-31,379878729.0,208996944.0,170881785.0,55.02,1.22
AVYA,2019-09-30,6950000000.0,5650000000.0,1300000000.0,81.29,4.35
AVYA,2018-09-30,7679000000.0,5628000000.0,2051000000.0,73.29,2.74
AVYA,2017-09-30,5898000000.0,10334000000.0,-5013000000.0,175.21,-2.06
AVYA,2016-09-30,5821000000.0,10298000000.0,-5023000000.0,176.91,-2.05
SKYW,2019-12-31,6657129000.0,4482115000.0,2175014000.0,67.33,2.06
